Number of Process;Name of Process;Year Filed;Status;Court;Category;OneNote;;;;;;;;;;;;;;;;;;;
494038082436.24.D.DM;Regents of Univ. of Surry v. Gustaviana;2024;To Clerk;Federal Circuit of Appeals;Probate & Estate (Record);;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
316111148255.24.S.D.VN;Galvan v. ProMed;2024;To Clerk;Sixth Circuit of Appeals;Civil (Labor);;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
541220768773.24.S.D.NH;Spelka v. New Heale;2024;To Clerk;First Circuit of Appeals;Probate & Estate;;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
977002294860.24.VN;Norton v. VTECH;2024;Pendent;Vilnius Supreme Court;Civil;;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
851547366587.25.SR;Daniels v. Shelby County Hall et. al.;2025;To Clerk;Serena Supreme Court;Civil;https://1drv.ms/o/c/e2bc691368a3a85d/IgBdqKNoE2m8IIDi9QQAAAAAAatJDAogvRlvNgD9oZRqVQ4?e=L8roUW;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
408447083479.26.UM;Pollard County v. Pollard County Council;2026;To Clerk;Umanois Supreme Court;Probate & Estate;;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
196927973510.24.FW;LWR v. Faughtar West;2024;To Clerk;Faughtar West Supreme Court;Civil (Labor);;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
320211748477.24.BM;Conservative Party v. §20.103;2024;To Clerk;Berma Supreme Court;Civil;;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
847295163042.26.S.D.WS;Psinack v. Saunders County;2026;To Clerk;National Supreme Court;Administrative & Regulatory;;.;.;.;.;Administrative & Regulatory;;;;;;;;;;;;;;
847295163042.26.S.D.WS;Psinack v. Saunders County;2026;To Clerk;Seventh Circuit of Appeals;Administrative & Regulatory;;.;.;.;.;Administrative & Regulatory (Record);;;;;National Supreme Court;;;;;;;;;
244114847051.24.KS;Liberal Party v. T.Maddox;2024;To Clerk;Kursenai Supreme Court;Administrative & Regulatory;;.;.;.;.;Civil;;2020;;;First Circuit of Appeals;;;;;;;;;
293593796097.24.NH;Liberal Party v. 2.2§ - 85.630;2024;To Clerk;New Heale Supreme Court;Administrative & Regulatory;;.;.;.;.;Civil (Labor);;2021;;;Second Circuit of Appeals;;;;;;;;;
